payment_id,customer_id,merchant_id,merchant_category,merchant_risk_tier,timestamp,amount_inr,method,device_id,ip_address,is_new_customer,billing_shipping_mismatch,customer_txn_count_24h,device_txn_count_1h,ip_txn_count_1h,is_fraud,spike_event_id,split,proba,pred
pay_2c2f9f67018141,cust_001039,mch_0047,utilities,low,2026-08-01 00:00:37.000000000,734.94,upi,dev_4302f9a19e,105.180.255.213,1,0,1,0,0,0,,train,0.005005756,0
pay_f3efbb4f947347,cust_000818,mch_0156,ecommerce,medium,2026-08-01 00:03:57.183895465,331.45,upi,dev_1edc2a7a38,63.162.183.185,0,1,1,0,0,0,,train,0.011607456,0
pay_63e669f8e9d341,cust_002235,mch_0062,gaming,low,2026-08-01 00:05:05.000000000,1071.27,card,dev_62ccc7118d,105.138.149.33,0,0,1,0,0,0,,train,0.0026302675,0
pay_968b4f8be2794f,cust_003926,mch_0222,utilities,low,2026-08-01 00:05:49.000000000,887.14,upi,dev_45df790577,155.118.147.227,0,0,1,0,0,0,,train,0.0029243922,0
pay_6eb1c91026ab49,cust_000535,mch_0226,saas,medium,2026-08-01 00:06:36.000000000,305.44,upi,dev_dc12c67167,67.150.101.106,0,0,1,0,0,0,,train,0.0002491242,0
pay_8b1c621d84b345,cust_000603,mch_0236,education,medium,2026-08-01 00:07:13.000000000,818.23,upi,dev_bbaf8bf490,38.187.111.63,0,0,1,0,0,0,,train,0.0042993287,0
pay_51ecba10969b40,cust_007338,mch_0075,gaming,medium,2026-08-01 00:08:47.000000000,1819.11,emi,dev_9355b489c3,109.249.203.126,0,0,1,0,0,0,,train,0.016257254,0
pay_4f7924eed7a84d,cust_000818,mch_0156,ecommerce,medium,2026-08-01 00:09:03.280121161,523.05,card,dev_1edc2a7a38,63.162.183.185,0,0,2,1,1,0,,train,0.03340311,0
pay_f2bbb6cea8a445,cust_001033,mch_0001,utilities,low,2026-08-01 00:09:43.000000000,210.78,netbanking,dev_1f8b1698a8,172.43.40.244,0,0,1,0,0,0,,train,0.0011752823,0
pay_915f9c13aa354a,cust_000818,mch_0156,ecommerce,medium,2026-08-01 00:11:36.152980667,223.04,card,dev_1edc2a7a38,63.162.183.185,0,1,3,2,2,0,,train,0.22600308,0
