merchant_id,bucket,txn_count,mean_proba,mean_amount,new_cust_ratio,mismatch_ratio,n_merchants,n_customers,n_devices,count_z,proba_z,amount_z,history_buckets,has_baseline,spike_score,is_spike_bucket,detection_basis,ring_evidence,axis,device_id,ip_address
mch_0000,2026-08-01 04:00:00,1,0.0017820963,551.76,0.0,0.0,1,1,1,,,,0.0,0,0.0,0,,0.002,merchant_id,,
mch_0000,2026-08-01 04:15:00,3,0.4828558293333333,1133.3666666666666,0.0,0.0,1,1,1,,,,1.0,0,0.0,0,,0.28,merchant_id,,
mch_0000,2026-08-01 05:15:00,1,0.006884641,694.95,0.0,0.0,1,1,1,,,,2.0,0,0.0,0,,0.0077,merchant_id,,
mch_0000,2026-08-01 08:15:00,1,0.022289291,956.17,0.0,0.0,1,1,1,,,,3.0,0,0.0,0,,0.025,merchant_id,,
mch_0000,2026-08-01 09:45:00,1,0.009378744,1378.42,0.0,0.0,1,1,1,,,,4.0,0,0.0,0,,0.0105,merchant_id,,
mch_0000,2026-08-01 11:30:00,1,0.00382097,648.23,0.0,1.0,1,1,1,,,,5.0,0,0.0,0,,0.2643,merchant_id,,
mch_0000,2026-08-01 12:45:00,2,0.175434082,1829.26,0.0,0.0,1,2,2,,,,6.0,0,0.0,0,,0.1965,merchant_id,,
mch_0000,2026-08-01 15:15:00,1,0.020517992,1759.49,1.0,0.0,1,1,1,,,,7.0,0,0.0,0,,0.203,merchant_id,,
mch_0000,2026-08-01 15:30:00,1,0.026520342,980.8,0.0,0.0,1,1,1,-0.5040154513557409,-0.3780585421210312,-0.27775021320396137,8.0,1,-0.3780585421210312,0,,0.0297,merchant_id,,
mch_0000,2026-08-01 16:15:00,1,0.0067575523,636.5,0.0,0.0,1,1,1,-0.47140385412530766,-0.48001354938226903,-0.9990310054102424,9.0,1,-0.47140385412530766,0,,0.0076,merchant_id,,
mch_0000,2026-08-01 17:45:00,1,0.008707758,2371.52,0.0,0.0,1,1,1,-0.44447765995670574,-0.43958098883828706,2.827711293335421,10.0,1,-0.43958098883828706,0,,0.1417,merchant_id,,
mch_0000,2026-08-01 20:45:00,1,0.0015364446,778.31,0.0,0.0,1,1,1,-0.4217405156637454,-0.4663633605198701,-0.6713359414908899,11.0,1,-0.4217405156637454,0,,0.0017,merchant_id,,
mch_0000,2026-08-02 08:45:00,2,0.0129010325,2083.16,0.0,0.0,1,2,2,1.206597558636418,-0.36302389493773435,1.6291178281550849,12.0,1,1.206597558636418,0,,0.1186,merchant_id,,
mch_0000,2026-08-02 09:15:00,1,0.02105634,948.71,1.0,0.0,1,1,1,-0.4880703266769301,-0.28774857079622335,-0.43683099220581595,13.0,1,-0.28774857079622335,0,,0.2036,merchant_id,,
mch_0000,2026-08-02 09:30:00,1,0.0021990489,387.83,1.0,0.0,1,1,1,-0.46742558773817156,-0.4219545862968201,-1.3678709021544009,14.0,1,-0.4219545862968201,0,,0.1825,merchant_id,,
mch_0000,2026-08-02 10:45:00,1,0.028313419,1683.04,0.0,0.0,1,1,1,-0.44922279761561484,-0.19941760639471007,0.8908095358877386,15.0,1,-0.19941760639471007,0,,0.0733,merchant_id,,
mch_0000,2026-08-02 14:30:00,1,0.01572132,1668.88,0.0,0.0,1,1,1,-0.4330119518935184,-0.29628129329658764,0.8188142493132785,16.0,1,-0.29628129329658764,0,,0.0558,merchant_id,,
mch_0000,2026-08-02 20:30:00,1,0.0068588224,1273.02,0.0,0.0,1,1,1,-0.4184518805880303,-0.3618895714318544,0.11387266608333448,17.0,1,-0.3618895714318544,0,,0.013,merchant_id,,
mch_0000,2026-08-02 21:30:00,1,0.004226124,638.72,1.0,0.0,1,1,1,-0.4052784334537993,-0.37372928016590895,-0.9884640243862874,18.0,1,-0.37372928016590895,0,,0.1847,merchant_id,,
mch_0000,2026-08-03 11:15:00,1,0.002303963,729.34,0.0,0.0,1,1,1,-0.3932833805141722,-0.37996198439920875,-0.781004942584909,19.0,1,-0.37996198439920875,0,,0.0026,merchant_id,,
mch_0000,2026-08-03 15:30:00,1,0.010079647,1087.99,0.0,0.0,1,1,1,-0.3822999966102945,-0.298866018457776,-0.12044634943231487,20.0,1,-0.298866018457776,0,,0.0113,merchant_id,,
mch_0000,2026-08-03 19:15:00,1,0.011696813,892.27,0.0,0.0,1,1,1,-0.3721929568880821,-0.27634934784971793,-0.4701710262656911,21.0,1,-0.27634934784971793,0,,0.0131,merchant_id,,
mch_0000,2026-08-03 22:15:00,1,0.008263923,1076.54,1.0,0.0,1,1,1,-0.3628510941120516,-0.30243974328188283,-0.11915980366761741,22.0,1,-0.30243974328188283,0,,0.1893,merchant_id,,
mch_0000,2026-08-03 22:45:00,1,0.009635149,2305.14,0.0,0.0,1,1,1,-0.35418210433844244,-0.28217080319376314,2.1913970085852608,23.0,1,-0.28217080319376314,0,,0.1131,merchant_id,,
mch_0000,2026-08-04 00:00:00,1,0.015617207,2773.61,1.0,0.0,1,1,1,-0.34610860887307926,-0.21673517547474286,2.7710430678495643,24.0,1,-0.21673517547474286,0,,0.3268,merchant_id,,
mch_0000,2026-08-04 12:00:00,4,0.205884216,2158.415,0.0,0.0,1,1,1,6.009531930724256,1.7117350170156167,1.4095020421076678,25.0,1,6.009531930724256,0,,0.4364,merchant_id,,
mch_0000,2026-08-04 12:15:00,5,0.48255676200000003,1169.3619999999999,0.0,0.0,1,2,2,5.150830700051931,4.290524678128092,-0.17728272824598593,26.0,1,5.150830700051931,1,prior_baseline_zscore,0.4002,merchant_id,,
mch_0000,2026-08-04 12:45:00,1,0.0551191,1934.16,1.0,0.0,1,1,1,-0.40340431180990693,-0.03260525889763517,1.0148979186041487,27.0,1,-0.03260525889763517,0,,0.2891,merchant_id,,
mch_0000,2026-08-04 14:30:00,1,0.71934325,971.94,0.0,0.0,1,1,1,-0.3952162688414139,5.123280399630899,-0.5171989771868739,28.0,1,5.123280399630899,0,,0.28,merchant_id,,
mch_0000,2026-08-04 15:45:00,1,0.0469689,1174.32,0.0,1.0,1,1,1,-0.38750959437680055,-0.198909735328331,-0.18721866823715094,29.0,1,-0.198909735328331,0,,0.3126,merchant_id,,
mch_0000,2026-08-04 16:00:00,1,0.038280576,1657.04,1.0,0.0,1,1,1,-0.3802387254727992,-0.24570843659976999,0.5895575267714872,30.0,1,-0.24570843659976999,0,,0.2504,merchant_id,,
mch_0000,2026-08-04 17:45:00,2,0.0183922075,980.5699999999999,0.5,0.0,1,2,2,0.678843519017168,-0.3582682180056389,-0.5193768261369698,31.0,1,0.678843519017168,0,,0.1264,merchant_id,,
mch_0000,2026-08-04 20:45:00,1,0.045928407,2683.29,0.0,0.0,1,1,1,-0.3981487042001697,-0.1882237440114674,2.2837713757321088,32.0,1,-0.1882237440114674,0,,0.158,merchant_id,,
mch_0000,2026-08-05 09:45:00,1,0.032906976,1467.97,0.0,0.0,1,1,1,-0.39129236938343614,-0.2640193249742747,0.2082331846307217,33.0,1,-0.2640193249742747,0,,0.0466,merchant_id,,
mch_0000,2026-08-05 10:30:00,1,0.0042474256,819.07,0.0,0.0,1,1,1,-0.38477981973970704,-0.4356262056954706,-0.8125044695015927,34.0,1,-0.38477981973970704,0,,0.0048,merchant_id,,
mch_0000,2026-08-05 11:45:00,1,0.031177131,3148.49,0.0,1.0,1,1,1,-0.37858316181773133,-0.26126226136575936,2.878958184112912,35.0,1,-0.26126226136575936,0,,0.4293,merchant_id,,
mch_0000,2026-08-05 13:15:00,1,0.02569664,1707.16,0.0,0.0,1,1,1,-0.372677579583764,-0.29192888612425616,0.4804396995417315,36.0,1,-0.29192888612425616,0,,0.0512,merchant_id,,
mch_0000,2026-08-05 14:45:00,1,0.008423234,2231.78,0.0,0.0,1,1,1,-0.36704091024463825,-0.39777040117983514,1.2353347942202737,37.0,1,-0.36704091024463825,0,,0.0671,merchant_id,,
mch_0000,2026-08-05 18:15:00,1,0.004605229,1082.38,1.0,0.0,1,1,1,-0.36165328954080195,-0.4164137568633697,-0.4652805185815346,38.0,1,-0.36165328954080195,0,,0.1852,merchant_id,,
mch_0000,2026-08-05 21:00:00,1,0.0063589206,1378.35,0.0,0.0,1,1,1,-0.3564968534308745,-0.39881944170141953,-0.02609984331782519,39.0,1,-0.3564968534308745,0,,0.0071,merchant_id,,
mch_0000,2026-08-06 08:00:00,1,0.04767474,2760.47,1.0,0.0,1,1,1,-0.3515554858539829,-0.12093530968950537,2.01807748576993,40.0,1,-0.12093530968950537,0,,0.3276,merchant_id,,
mch_0000,2026-08-06 09:15:00,1,0.012594932,1440.48,1.0,0.0,1,1,1,-0.3468146043759007,-0.353479823258493,0.016281407166670574,41.0,1,-0.3468146043759007,0,,0.1949,merchant_id,,
