payment_id,customer_id,merchant_id,merchant_category,merchant_risk_tier,timestamp,amount_inr,method,device_id,ip_address,is_new_customer,billing_shipping_mismatch,device_txn_count_1h,ip_txn_count_1h,customer_txn_count_24h,is_fraud,spike_event_id,split,is_test_window
pay_2c2f9f67018141,cust_001039,mch_0047,utilities,low,2026-08-01 00:00:37.000000000,734.94,upi,dev_4302f9a19e,105.180.255.213,1,0,0,0,1,0,,train,0
pay_f3efbb4f947347,cust_000818,mch_0156,ecommerce,medium,2026-08-01 00:03:57.183895465,331.45,upi,dev_1edc2a7a38,63.162.183.185,0,1,0,0,1,0,,train,0
pay_63e669f8e9d341,cust_002235,mch_0062,gaming,low,2026-08-01 00:05:05.000000000,1071.27,card,dev_62ccc7118d,105.138.149.33,0,0,0,0,1,0,,train,0
pay_968b4f8be2794f,cust_003926,mch_0222,utilities,low,2026-08-01 00:05:49.000000000,887.14,upi,dev_45df790577,155.118.147.227,0,0,0,0,1,0,,train,0
pay_6eb1c91026ab49,cust_000535,mch_0226,saas,medium,2026-08-01 00:06:36.000000000,305.44,upi,dev_dc12c67167,67.150.101.106,0,0,0,0,1,0,,train,0
pay_8b1c621d84b345,cust_000603,mch_0236,education,medium,2026-08-01 00:07:13.000000000,818.23,upi,dev_bbaf8bf490,38.187.111.63,0,0,0,0,1,0,,train,0
pay_51ecba10969b40,cust_007338,mch_0075,gaming,medium,2026-08-01 00:08:47.000000000,1819.11,emi,dev_9355b489c3,109.249.203.126,0,0,0,0,1,0,,train,0
pay_4f7924eed7a84d,cust_000818,mch_0156,ecommerce,medium,2026-08-01 00:09:03.280121161,523.05,card,dev_1edc2a7a38,63.162.183.185,0,0,1,1,2,0,,train,0
pay_f2bbb6cea8a445,cust_001033,mch_0001,utilities,low,2026-08-01 00:09:43.000000000,210.78,netbanking,dev_1f8b1698a8,172.43.40.244,0,0,0,0,1,0,,train,0
pay_915f9c13aa354a,cust_000818,mch_0156,ecommerce,medium,2026-08-01 00:11:36.152980667,223.04,card,dev_1edc2a7a38,63.162.183.185,0,1,2,2,3,0,,train,0
pay_0dfe523e200b42,cust_003945,mch_0084,utilities,low,2026-08-01 00:11:55.000000000,661.15,card,dev_bac4d84a47,197.144.193.99,0,0,0,0,1,0,,train,0
pay_ea95dc4c44794f,cust_006259,mch_0023,utilities,low,2026-08-01 00:13:11.000000000,742.73,card,dev_8c8526185f,105.28.124.118,0,0,0,0,1,0,,train,0
pay_ee1b6c55e3454e,cust_007293,mch_0054,travel,high,2026-08-01 00:14:26.000000000,401.17,card,dev_221f2da828,47.200.33.176,0,0,0,0,1,0,,train,0
pay_c0a5ebbc33be44,cust_007024,mch_0013,utilities,low,2026-08-01 00:16:28.000000000,1217.39,card,dev_b8c96b296c,97.31.249.30,0,0,0,0,1,0,,train,0
pay_0653b7e8c0aa4b,cust_004758,mch_0063,gaming,medium,2026-08-01 00:18:24.000000000,679.32,upi,dev_9e69966227,179.45.107.30,1,0,0,0,1,0,,train,0
pay_f0f3a696bf034d,cust_000818,mch_0156,ecommerce,medium,2026-08-01 00:20:34.901473148,267.88,upi,dev_1edc2a7a38,63.162.183.185,0,0,3,3,4,0,,train,0
pay_074e3252c21c4a,cust_008585,mch_0013,utilities,low,2026-08-01 00:21:52.000000000,2124.81,upi,dev_b2229e9373,34.94.68.232,0,0,0,0,1,0,,train,0
pay_2104e43c2d2049,cust_003044,mch_0001,utilities,low,2026-08-01 00:24:50.000000000,105.06,upi,dev_2a1547a5b1,108.157.105.59,0,0,0,0,1,0,,train,0
pay_2c43bd9aef6149,cust_000818,mch_0156,ecommerce,medium,2026-08-01 00:27:30.622756521,328.13,upi,dev_1edc2a7a38,63.162.183.185,0,0,4,4,5,0,,train,0
pay_6bf3467bb8b646,cust_006761,mch_0192,ecommerce,low,2026-08-01 00:32:31.000000000,487.42,netbanking,dev_2cfbade77d,116.31.63.27,0,0,0,0,1,0,,train,0
pay_de6904f9c0e44a,cust_003151,mch_0068,gaming,low,2026-08-01 00:33:06.000000000,1171.45,card,dev_e8c98befab,24.161.237.61,0,0,0,0,1,0,,train,0
pay_dfdd3175fd9d41,cust_006889,mch_0027,saas,low,2026-08-01 00:37:31.000000000,651.92,card,dev_aa5a13c4d3,125.50.242.65,0,0,0,0,1,0,,train,0
pay_5b0f0f4958544e,cust_004687,mch_0047,utilities,low,2026-08-01 00:38:45.000000000,1038.81,upi,dev_182c096557,71.15.107.134,1,0,0,0,1,0,,train,0
